Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,Clustering Coefficient,pageranks,componentnumber,Cluster,clustering,triangles,eigencentrality
"Hanseth, Ole","Hanseth, Ole",,13,21,5,0.437662,0.463497,2191.17859,5,0.010707,0.049317,0,0.000981,0,0,0,0,0.096804
"Ordanini, Andrea","Ordanini, Andrea",,20,27,5,0.451699,0.474838,1934.806162,1,0.017324,0.079798,0,0.001328,0,0,0,0,0.152148
"Orlikowski, Wanda J.","Orlikowski, Wanda J.",,9,13,5,0.405554,0.439772,626.962108,5,0.007389,0.034036,0,0.000695,0,0,0,0,0.066432
"Ostrom, Amy L","Ostrom, Amy L",,19,31,5,0.449981,0.473429,2090.560541,1,0.014599,0.067245,0,0.001297,0,0,0,0,0.130613
"Agarwal, Renu","Agarwal, Renu",,16,25,5,0.446584,0.470358,1908.221156,2,0.013687,0.063046,0,0.001124,0,0,0,0,0.122929
"Bitner, Mary Jo","Bitner, Mary Jo",,13,17,5,0.426306,0.456185,995.765781,1,0.010343,0.047643,0,0.000932,0,0,0,0,0.092179
"Bygstad, Bendik","Bygstad, Bendik",,17,20,5,0.434128,0.462581,1621.179402,5,0.011952,0.055053,0,0.001185,0,0,0,0,0.108501
"Grönroos, Christian","Grönroos, Christian",,16,27,5,0.434447,0.462539,1356.459387,3,0.01474,0.067895,0,0.001094,0,0,0,0,0.129228
"Henfridsson, Ola","Henfridsson, Ola",,17,21,5,0.412626,0.447774,2197.756018,5,0.009374,0.043179,0,0.00124,0,0,0,0,0.086105
"Kauffman, Robert J.","Kauffman, Robert J.",,17,24,5,0.40639,0.443322,1108.265585,5,0.01029,0.047396,0,0.001169,0,0,0,0,0.092231
"Kowalkowski, Christian","Kowalkowski, Christian",,17,23,5,0.451354,0.47357,2015.880961,3,0.015003,0.069104,0,0.001181,0,0,0,0,0.132663
"Markeset, T.","Markeset, T.",,10,18,5,0.414942,0.446901,1128.446191,1,0.00804,0.037032,0,0.000798,0,0,0,0,0.073159
"Nicolajsen, Hanne Westh","Nicolajsen, Hanne Westh",,10,16,5,0.407229,0.441293,534.08975,1,0.00917,0.042236,0,0.00074,0,0,0,0,0.081483
"Panesar, S. S.","Panesar, S. S.",,10,18,5,0.414942,0.446901,1128.446191,1,0.00804,0.037032,0,0.000798,0,0,0,0,0.073159
"Rai, Arun","Rai, Arun",,14,18,5,0.429401,0.458552,1278.519454,5,0.010409,0.047943,0,0.001006,0,0,0,0,0.093936
"Sundbo, Jon","Sundbo, Jon",,12,16,5,0.401153,0.437743,1457.397218,1,0.007805,0.035952,0,0.000945,0,0,0,0,0.070527
"Sørensen, C.","Sørensen, C.",,19,24,5,0.420547,0.454283,2308.652291,5,0.01065,0.049056,0,0.00134,0,0,0,0,0.096722
"Tronvoll, Bard","Tronvoll, Bard",,15,29,5,0.388506,0.428656,757.723714,3,0.010727,0.049409,0,0.001042,0,0,0,0,0.093262
"Verma, Rohit","Verma, Rohit",,11,14,5,0.418761,0.450197,641.426987,1,0.010358,0.04771,0,0.000795,0,0,0,0,0.091116
"Xu, Xin","Xu, Xin",,14,22,5,0.444236,0.467977,1545.673275,5,0.013269,0.061121,0,0.000994,0,0,0,0,0.118211
"Barrett, Michael","Barrett, Michael",,22,24,5,0.454476,0.477233,3355.751838,3,0.017281,0.0796,0,0.001498,0,0,0,0,0.153347
"Boudreau, Kevin J","Boudreau, Kevin J",,7,11,5,0.366594,0.40641,1431.087995,5,0.004835,0.022271,0,0.000688,0,0,0,0,0.043918
"Cheng, Colin C J","Cheng, Colin C J",,11,14,5,0.420249,0.450859,627.549764,1,0.010745,0.049493,0,0.000802,0,0,0,0,0.095554
"Cusumano, Michael A","Cusumano, Michael A",,6,8,5,0.373776,0.413004,207.443089,5,0.006588,0.030346,0,0.000497,0,0,0,0,0.057493
"Daim, T. U.","Daim, T. U.",,10,12,5,0.432858,0.45927,824.559034,1,0.012163,0.056025,0,0.000741,0,0,0,0,0.107563
"Davidson, Elizabeth J.","Davidson, Elizabeth J.",,20,22,5,0.45239,0.475261,2713.700628,3,0.017013,0.078364,0,0.001365,0,0,0,0,0.150253
"Den Hertog, Pim","Den Hertog, Pim",,6,8,5,0.392893,0.42898,352.721705,1,0.006623,0.030508,0,0.000509,0,0,0,0,0.059053
"Gallan, Andrew S","Gallan, Andrew S",,10,13,5,0.394465,0.43146,529.787113,3,0.009038,0.041632,0,0.000732,0,0,0,0,0.079643
"Gallego, Jorge","Gallego, Jorge",,5,8,5,0.402792,0.43625,236.440238,1,0.00804,0.037033,0,0.000438,0,0,0,0,0.070111
"Gebauer, Heiko","Gebauer, Heiko",,7,10,5,0.412339,0.444041,377.438639,1,0.008813,0.040592,0,0.000562,0,0,0,0,0.07771
"Gummerus, Johanna","Gummerus, Johanna",,11,19,5,0.390043,0.428515,491.047748,3,0.009505,0.043781,0,0.000787,0,0,0,0,0.082901
"Hilton, Toni","Hilton, Toni",,14,23,5,0.404721,0.440899,758.5476,3,0.011478,0.052868,0,0.000961,0,0,0,0,0.099879
"Lin, Chiu Hui","Lin, Chiu Hui",,6,9,5,0.409768,0.441786,308.482931,1,0.008382,0.038609,0,0.000502,0,0,0,0,0.073886
"Maull, Roger","Maull, Roger",,15,22,5,0.390558,0.430445,664.60663,3,0.011232,0.051734,0,0.001023,0,0,0,0,0.0979
"Michel, Stefan","Michel, Stefan",,7,10,5,0.408636,0.441392,367.746273,1,0.00979,0.045095,0,0.000554,0,0,0,0,0.085123
"Ng, Irene C L","Ng, Irene C L",,15,22,5,0.390558,0.430445,664.60663,3,0.011232,0.051734,0,0.001023,0,0,0,0,0.0979
"Reynoso, Javier","Reynoso, Javier",,12,15,5,0.418169,0.450127,1001.047219,4,0.010871,0.050074,0,0.000866,0,0,0,0,0.095653
"Richey, Robert Glenn, Jr","Richey, Robert Glenn, Jr",,8,13,5,0.411478,0.443956,487.219643,3,0.00922,0.042469,0,0.000619,0,0,0,0,0.080937
"Sambamurthy, Vallabh","Sambamurthy, Vallabh",,14,16,5,0.431594,0.459932,3133.819063,5,0.010627,0.048949,0,0.001102,0,0,0,0,0.096501
"Savona, Maria","Savona, Maria",,11,17,5,0.387742,0.426515,1467.899814,2,0.006904,0.031799,0,0.000885,0,0,0,0,0.062417
"Savory, C.","Savory, C.",,11,19,5,0.409201,0.443125,1616.291006,4,0.008101,0.037316,0,0.00088,0,0,0,0,0.074197
"Sawatani, Yuriko","Sawatani, Yuriko",,14,20,5,0.447259,0.469879,1473.030082,3,0.015691,0.072276,0,0.000986,0,0,0,0,0.13784
"Scott, Susan V.","Scott, Susan V.",,6,8,5,0.390816,0.427289,243.42766,5,0.006591,0.03036,0,0.0005,0,0,0,0,0.058159
"Scupola, Ada","Scupola, Ada",,8,13,5,0.39605,0.432023,343.709373,1,0.007905,0.036412,0,0.000621,0,0,0,0,0.069941
"Selen, Willem","Selen, Willem",,14,22,5,0.441583,0.466484,1463.009212,1,0.013094,0.06031,0,0.000992,0,0,0,0,0.116981
"Shirahada, Kunio","Shirahada, Kunio",,14,19,5,0.430338,0.459087,1346.274544,3,0.011161,0.051411,0,0.000993,0,0,0,0,0.099383
"Skålén, P.","Skålén, P.",,12,15,5,0.415233,0.448211,1301.786952,3,0.010608,0.048859,0,0.000884,0,0,0,0,0.092796
"Tiwana, Amrit","Tiwana, Amrit",,8,10,5,0.402244,0.437081,553.060711,5,0.0081,0.037307,0,0.000632,0,0,0,0,0.071568
"Tokman, Mert","Tokman, Mert",,9,13,5,0.415817,0.44738,613.877758,3,0.010891,0.050164,0,0.000676,0,0,0,0,0.094898
"Truong, Yann","Truong, Yann",,11,12,5,0.425999,0.455072,1043.207877,3,0.011425,0.052624,0,0.000805,0,0,0,0,0.10109
"Tung, Wei-Feng","Tung, Wei-Feng",,16,27,5,0.419355,0.452381,1015.401232,1,0.012326,0.056774,0,0.0011,0,0,0,0,0.108287
"Uchihira, N.","Uchihira, N.",,11,14,5,0.419355,0.45062,714.368362,3,0.010683,0.049205,0,0.000793,0,0,0,0,0.094212
"van Riel, A.C.R.","van Riel, A.C.R.",,9,10,5,0.406669,0.44042,613.234038,1,0.00815,0.037541,0,0.000702,0,0,0,0,0.07315
"Venkatesh, Viswanath","Venkatesh, Viswanath",,11,17,5,0.437015,0.462271,845.657776,5,0.01276,0.058776,0,0.000795,0,0,0,0,0.112481
"Visintin, Filippo","Visintin, Filippo",,10,13,5,0.374249,0.415328,755.687118,3,0.008333,0.038384,0,0.000757,0,0,0,0,0.07265
"Wang, Huaiqing","Wang, Huaiqing",,8,11,5,0.394728,0.431361,334.674788,5,0.008756,0.04033,0,0.000608,0,0,0,0,0.076172
"Witell, Lars","Witell, Lars",,10,13,5,0.408636,0.442646,515.359878,1,0.009062,0.041739,0,0.000739,0,0,0,0,0.080377
"Woodside, Arch G","Woodside, Arch G",,7,10,5,0.390043,0.426909,266.048611,3,0.007882,0.036305,0,0.000549,0,0,0,0,0.068499
"Araujo, Luis","Araujo, Luis",,15,16,5,0.427848,0.457847,1511.622417,5,0.011289,0.051999,0,0.001074,0,0,0,0,0.100578
"Arduini, Davide","Arduini, Davide",,14,18,5,0.415525,0.448633,1203.466701,5,0.008605,0.039635,0,0.001005,0,0,0,0,0.079661
"Ballantyne, David","Ballantyne, David",,11,14,5,0.386981,0.425881,405.023824,3,0.009508,0.043795,0,0.000781,0,0,0,0,0.082577
"Bardhan, Indranil R.","Bardhan, Indranil R.",,7,8,5,0.419058,0.449,512.360998,5,0.009097,0.041903,0,0.000566,0,0,0,0,0.080222
"Barlatier, Pierre-Jean","Barlatier, Pierre-Jean",,7,8,5,0.403341,0.437475,358.983048,1,0.00801,0.036895,0,0.000565,0,0,0,0,0.070711
"Benbasat, I.","Benbasat, I.",,9,12,5,0.405554,0.439575,432.840786,5,0.008629,0.039749,0,0.000673,0,0,0,0,0.076674
"Berg, D.","Berg, D.",,8,8,5,0.424471,0.452959,598.573554,0,0.009311,0.042886,0,0.000628,0,0,0,0,0.083309
"Bryson, John R","Bryson, John R",,6,6,5,0.394728,0.430262,552.136786,0,0.006554,0.03019,0,0.000534,0,0,0,0,0.058752
"Bush, Ashley A.","Bush, Ashley A.",,7,8,5,0.387996,0.425317,398.852328,5,0.006691,0.030821,0,0.000572,0,0,0,0,0.059427
"Cenfetelli, R. T.","Cenfetelli, R. T.",,9,12,5,0.405554,0.439575,432.840786,5,0.008629,0.039749,0,0.000673,0,0,0,0,0.076674
"Chesbrough, Henry","Chesbrough, Henry",,12,14,5,0.431594,0.459031,1368.877054,1,0.010512,0.04842,0,0.000916,0,0,0,0,0.094539
"Chiu, Yen-Ting Helena","Chiu, Yen-Ting Helena",,8,12,5,0.41699,0.447675,475.818463,1,0.009305,0.042859,0,0.000623,0,0,0,0,0.082671
"Cova, Bernard","Cova, Bernard",,4,5,5,0.366822,0.406157,107.120372,3,0.006698,0.03085,0,0.000368,0,0,0,0,0.057115
"de Reuver, Mark","de Reuver, Mark",,13,16,5,0.430338,0.458735,1908.520218,0,0.010298,0.047436,0,0.000979,0,0,0,0,0.092867
"Dobrzykowski, David D","Dobrzykowski, David D",,6,10,5,0.398988,0.433742,333.99867,3,0.008662,0.039898,0,0.000495,0,0,0,0,0.075102
"Doloreux, David","Doloreux, David",,3,4,5,0.344196,0.3837,151.175828,2,0.003365,0.015501,0,0.00033,0,0,0,0,0.0295
"Enquist, Bo","Enquist, Bo",,18,21,5,0.437338,0.465046,2902.252016,4,0.013533,0.062335,0,0.001295,0,0,0,0,0.120825
"Frow, Pennie","Frow, Pennie",,12,16,5,0.400068,0.436799,552.292367,3,0.011171,0.051456,0,0.000837,0,0,0,0,0.096825
"Ganz, Walter","Ganz, Walter",,10,12,5,0.402792,0.438208,444.343837,1,0.00794,0.036572,0,0.00073,0,0,0,0,0.070706
"Geum, Y.","Geum, Y.",,7,7,5,0.411192,0.443491,404.056718,3,0.009171,0.042243,0,0.000555,0,0,0,0,0.080142
"Ghazawneh, A.","Ghazawneh, A.",,8,12,5,0.366822,0.407368,561.535939,5,0.005537,0.025506,0,0.000649,0,0,0,0,0.049593
"Giannopoulou, Eleni","Giannopoulou, Eleni",,7,8,5,0.403341,0.437475,358.983048,1,0.00801,0.036895,0,0.000565,0,0,0,0,0.070711
"Gruber, Thorsten","Gruber, Thorsten",,8,11,5,0.411478,0.443956,558.015778,3,0.01011,0.046567,0,0.000627,0,0,0,0,0.08757
"Gryszkiewicz, Lidia","Gryszkiewicz, Lidia",,7,8,5,0.403341,0.437475,358.983048,1,0.00801,0.036895,0,0.000565,0,0,0,0,0.070711
"Gustafsson, Anders","Gustafsson, Anders",,7,8,5,0.399527,0.434615,302.033516,1,0.007998,0.036841,0,0.000556,0,0,0,0,0.070307
"Heinonen, Kristina","Heinonen, Kristina",,11,16,5,0.409201,0.443322,927.396024,1,0.010745,0.049492,0,0.000827,0,0,0,0,0.093676
"Henten, A.","Henten, A.",,7,9,5,0.412914,0.444463,491.260007,1,0.008203,0.037785,0,0.000576,0,0,0,0,0.072998
"Hipp, Christiane","Hipp, Christiane",,6,7,5,0.399797,0.434277,338.177501,1,0.007753,0.03571,0,0.000512,0,0,0,0,0.06782
"Hollebeek, Linda D","Hollebeek, Linda D",,12,15,5,0.425693,0.455311,854.908294,3,0.0133,0.06126,0,0.000843,0,0,0,0,0.115405
"Hong, Se-Joon","Hong, Se-Joon",,7,9,5,0.409484,0.441927,361.28766,5,0.008938,0.041169,0,0.00055,0,0,0,0,0.078142
"Hsu, Hsuan-Yu","Hsu, Hsuan-Yu",,11,13,5,0.41611,0.448098,645.207165,0,0.009214,0.042442,0,0.000813,0,0,0,0,0.082541
"Hua, Zhongsheng","Hua, Zhongsheng",,7,9,5,0.380998,0.419696,240.399266,5,0.007347,0.033843,0,0.000549,0,0,0,0,0.064031
"Hughes, Tim","Hughes, Tim",,9,14,5,0.378802,0.418301,324.030474,1,0.008064,0.037145,0,0.000669,0,0,0,0,0.069897
"Izquierdo-Yusta, Alicia","Izquierdo-Yusta, Alicia",,7,11,5,0.41699,0.447422,554.996731,1,0.008698,0.040065,0,0.000578,0,0,0,0,0.077433
"Jaeger, Angela","Jaeger, Angela",,3,4,5,0.387488,0.423584,105.414651,1,0.005963,0.027468,0,0.000319,0,0,0,0,0.052348
"Jayaraman, K.","Jayaraman, K.",,2,3,5,0.380753,0.417625,50.559543,1,0.005438,0.025047,0,0.000254,0,0,0,0,0.047251
"Jiménez-Zarco, A. I.","Jiménez-Zarco, A. I.",,7,11,5,0.41699,0.447422,554.996731,1,0.008698,0.040065,0,0.000578,0,0,0,0,0.077433
"Kallio, Katri","Kallio, Katri",,11,16,5,0.440924,0.465103,1543.124056,3,0.012156,0.055991,0,0.000836,0,0,0,0,0.107309
"Kandampully, Jay","Kandampully, Jay",,9,11,5,0.410336,0.443266,809.66952,1,0.008173,0.037644,0,0.00071,0,0,0,0,0.073026
"Kannan, P. K.","Kannan, P. K.",,10,11,5,0.404444,0.439575,653.795966,5,0.010233,0.047135,0,0.000741,0,0,0,0,0.089141
"Karia, Noorliza","Karia, Noorliza",,6,11,5,0.405554,0.438617,380.950927,1,0.007828,0.036057,0,0.000519,0,0,0,0,0.068985
"Kelleher, Carol","Kelleher, Carol",,8,10,5,0.404998,0.439293,365.410892,1,0.009715,0.04475,0,0.000608,0,0,0,0,0.084002
"Kim, S. K.","Kim, S. K.",,7,11,5,0.411765,0.443914,382.478624,3,0.009395,0.043276,0,0.000552,0,0,0,0,0.081973
"Kindström, D.","Kindström, D.",,7,9,5,0.430965,0.457044,630.322607,1,0.00991,0.045648,0,0.000565,0,0,0,0,0.08761
"Kinkel, Steffen","Kinkel, Steffen",,3,4,5,0.387488,0.423584,105.414651,1,0.005963,0.027468,0,0.000319,0,0,0,0,0.052348
"Kirner, Eva","Kirner, Eva",,3,4,5,0.387488,0.423584,105.414651,1,0.005963,0.027468,0,0.000319,0,0,0,0,0.052348
"Kuo, D. C.-L.","Kuo, D. C.-L.",,10,10,5,0.43637,0.461595,835.219387,1,0.011296,0.052029,0,0.000742,0,0,0,0,0.100137
"Kuppelwieser, Volker G","Kuppelwieser, Volker G",,6,8,5,0.377112,0.415666,199.44857,3,0.007266,0.033466,0,0.00049,0,0,0,0,0.063035
"Kuusela, Hannu","Kuusela, Hannu",,6,8,5,0.376872,0.415652,183.796221,3,0.007982,0.036766,0,0.000488,0,0,0,0,0.068312
"Lappalainen, Inka","Lappalainen, Inka",,11,16,5,0.440924,0.465103,1543.124056,3,0.012156,0.055991,0,0.000836,0,0,0,0,0.107309
"Lee, Jung Hoon","Lee, Jung Hoon",,9,10,5,0.398451,0.43408,729.085482,3,0.007285,0.033556,0,0.000694,0,0,0,0,0.065215
"Lee, Jungwoo","Lee, Jungwoo",,9,12,5,0.375436,0.415441,543.522747,3,0.00583,0.026855,0,0.000695,0,0,0,0,0.052289
"Lee, Sungjoo","Lee, Sungjoo",,7,7,5,0.411192,0.443491,404.056718,3,0.009171,0.042243,0,0.000555,0,0,0,0,0.080142
"Legner, Christine","Legner, Christine",,9,11,5,0.424776,0.453621,598.909754,5,0.010191,0.046941,0,0.000675,0,0,0,0,0.089986
"Leimeister, Jan Marco","Leimeister, Jan Marco",,10,10,5,0.393677,0.43122,558.044975,5,0.00998,0.04597,0,0.000732,0,0,0,0,0.086901
"Li, L.","Li, L.",,5,8,5,0.364336,0.404184,122.273858,3,0.006063,0.027929,0,0.000431,0,0,0,0,0.052136
"Lightfoot, Howard W","Lightfoot, Howard W",,11,13,5,0.412914,0.446069,620.805557,3,0.009792,0.045104,0,0.000804,0,0,0,0,0.08648
"Lin, Fu-Ren","Lin, Fu-Ren",,11,15,5,0.427539,0.456128,1031.025446,4,0.010679,0.049191,0,0.000807,0,0,0,0,0.095272
"Lin, Ming-Ji James","Lin, Ming-Ji James",,10,10,5,0.412626,0.445604,773.199077,0,0.00934,0.043023,0,0.000763,0,0,0,0,0.08244
"Liu, Hong-Cheng","Liu, Hong-Cheng",,11,11,5,0.423862,0.453691,765.738427,3,0.00961,0.044263,0,0.000804,0,0,0,0,0.085668
"Malsbender, A.","Malsbender, A.",,6,7,5,0.408918,0.441054,339.66237,1,0.007717,0.035547,0,0.000506,0,0,0,0,0.068415
"Markkula, Jouni","Markkula, Jouni",,10,12,5,0.422048,0.451972,1023.773012,3,0.009379,0.0432,0,0.000772,0,0,0,0,0.083702
"Markus, M. L.","Markus, M. L.",,9,12,5,0.390558,0.427839,796.706957,5,0.00642,0.029573,0,0.000736,0,0,0,0,0.057974
"Martínez-Ruiz, M. P.","Martínez-Ruiz, M. P.",,7,11,5,0.41699,0.447422,554.996731,1,0.008698,0.040065,0,0.000578,0,0,0,0,0.077433
"Mathiassen, Lars","Mathiassen, Lars",,7,9,5,0.373776,0.413454,347.368618,5,0.005564,0.025628,0,0.000583,0,0,0,0,0.049574
"McColl-Kennedy, Janet R","McColl-Kennedy, Janet R",,11,12,5,0.394728,0.43222,481.691141,3,0.010574,0.048706,0,0.000776,0,0,0,0,0.091322
"McDermott, Christopher M","McDermott, Christopher M",,7,7,5,0.414361,0.44552,607.147374,1,0.008318,0.038316,0,0.000577,0,0,0,0,0.074048
"Meyer, Jeffrey","Meyer, Jeffrey",,6,8,5,0.397915,0.432897,518.19356,1,0.007017,0.032322,0,0.000517,0,0,0,0,0.062153
"Meyer, Martin","Meyer, Martin",,8,9,5,0.406949,0.440476,377.935179,1,0.007883,0.036309,0,0.000617,0,0,0,0,0.070552
"Moeslein, Kathrin M","Moeslein, Kathrin M",,12,12,5,0.439287,0.464398,1149.736442,3,0.014263,0.065699,0,0.000857,0,0,0,0,0.124727
"Mukhopadhyay, T.","Mukhopadhyay, T.",,7,7,5,0.388251,0.425528,300.585952,5,0.006461,0.02976,0,0.00056,0,0,0,0,0.057819
"Nambisan, Satish","Nambisan, Satish",,17,20,5,0.446247,0.470597,2736.392702,3,0.014599,0.067245,0,0.001204,0,0,0,0,0.128764
"Ndubisi, Nelson Oly","Ndubisi, Nelson Oly",,11,12,5,0.424166,0.453903,1351.647019,1,0.00929,0.042791,0,0.00085,0,0,0,0,0.083964
"Neely, Andy","Neely, Andy",,12,15,5,0.426614,0.455748,963.987393,3,0.010198,0.046972,0,0.000876,0,0,0,0,0.091599
"O'Driscoll, Aidan","O'Driscoll, Aidan",,8,8,5,0.428779,0.455917,673.457663,5,0.01017,0.046843,0,0.000625,0,0,0,0,0.090015
"Ojanen, V.","Ojanen, V.",,10,11,5,0.421446,0.451451,971.696977,1,0.009233,0.042529,0,0.000768,0,0,0,0,0.082551
"Palmer, Mark","Palmer, Mark",,8,8,5,0.384465,0.422711,425.352726,3,0.007966,0.036692,0,0.000613,0,0,0,0,0.069503
"Park, Yongtae","Park, Yongtae",,7,7,5,0.411192,0.443491,404.056718,3,0.009171,0.042243,0,0.000555,0,0,0,0,0.080142
"Payne, Adrian","Payne, Adrian",,12,16,5,0.400068,0.436799,552.292367,3,0.011171,0.051456,0,0.000837,0,0,0,0,0.096825
"Pekkarinen, Saara","Pekkarinen, Saara",,11,12,5,0.385971,0.424937,487.781127,5,0.006834,0.031479,0,0.000803,0,0,0,0,0.061611
"Pilar Martinez-Ruiz, Maria","Pilar Martinez-Ruiz, Maria",,7,11,5,0.41699,0.447422,554.996731,1,0.008698,0.040065,0,0.000578,0,0,0,0,0.077433
"Polese, Francesco","Polese, Francesco",,8,12,5,0.381736,0.420583,681.617232,3,0.008979,0.041358,0,0.000635,0,0,0,0,0.077268
"Prabhu, Jaideep","Prabhu, Jaideep",,18,19,5,0.43637,0.46461,1848.93135,3,0.01459,0.067203,0,0.001233,0,0,0,0,0.128152
"Prajogo, Daniel I","Prajogo, Daniel I",,7,7,5,0.414361,0.44552,607.147374,1,0.008318,0.038316,0,0.000577,0,0,0,0,0.074048
"Rapaccini, Mario","Rapaccini, Mario",,11,14,5,0.402518,0.438349,560.864139,3,0.009726,0.044798,0,0.000795,0,0,0,0,0.085491
"Roth, Aleda V","Roth, Aleda V",,12,12,5,0.418761,0.450549,730.143772,1,0.010366,0.047747,0,0.000864,0,0,0,0,0.091744
"Rubera, Gaia","Rubera, Gaia",,9,10,5,0.426614,0.45479,621.761916,1,0.010746,0.049496,0,0.000683,0,0,0,0,0.094937
"Russo-Spena, Tiziana","Russo-Spena, Tiziana",,11,13,5,0.414071,0.447112,769.410366,3,0.010412,0.047961,0,0.00081,0,0,0,0,0.0917
"Saarijärvi, Hannu","Saarijärvi, Hannu",,6,8,5,0.376872,0.415652,183.796221,3,0.007982,0.036766,0,0.000488,0,0,0,0,0.068312
"Schultz, Carsten","Schultz, Carsten",,8,8,5,0.413781,0.445449,673.881554,4,0.008048,0.037069,0,0.000645,0,0,0,0,0.07166
"Semeijn, Janjaap","Semeijn, Janjaap",,4,4,5,0.388251,0.424669,133.612287,1,0.006166,0.028399,0,0.000375,0,0,0,0,0.053917
"Shearmur, R.","Shearmur, R.",,3,4,5,0.344196,0.3837,151.175828,2,0.003365,0.015501,0,0.00033,0,0,0,0,0.0295
"Simmons, Geoff","Simmons, Geoff",,8,8,5,0.384465,0.422711,425.352726,3,0.007966,0.036692,0,0.000613,0,0,0,0,0.069503
"Smith, Laura","Smith, Laura",,13,16,5,0.388761,0.428261,563.598639,3,0.010597,0.048812,0,0.000906,0,0,0,0,0.092078
"Sougstad, Ryan","Sougstad, Ryan",,8,10,5,0.388506,0.426289,359.181483,5,0.007725,0.035581,0,0.00062,0,0,0,0,0.067764
"Sparrow, J.","Sparrow, J.",,5,7,5,0.406949,0.439617,451.847508,2,0.007385,0.034017,0,0.000453,0,0,0,0,0.064979
"Spring, Martin","Spring, Martin",,15,16,5,0.427848,0.457847,1511.622417,5,0.011289,0.051999,0,0.001074,0,0,0,0,0.100578
"Storey, Chris","Storey, Chris",,6,8,5,0.392893,0.42898,315.434618,1,0.006492,0.029902,0,0.000513,0,0,0,0,0.057844
"Strandvik, Tore","Strandvik, Tore",,11,16,5,0.409201,0.443322,927.396024,1,0.010745,0.049492,0,0.000827,0,0,0,0,0.093676
"Sun, Yaowu","Sun, Yaowu",,7,7,5,0.413492,0.444985,984.128897,0,0.008494,0.039125,0,0.000609,0,0,0,0,0.075214
"Tam, Kar Yan","Tam, Kar Yan",,7,9,5,0.409484,0.441927,361.28766,5,0.008938,0.041169,0,0.00055,0,0,0,0,0.078142
"Teo, Hock-Hai","Teo, Hock-Hai",,10,11,5,0.425387,0.454494,1323.649915,1,0.010852,0.049987,0,0.000789,0,0,0,0,0.095435
"Thong, James Y L","Thong, James Y L",,9,13,5,0.426922,0.454804,585.126267,1,0.011223,0.051696,0,0.000677,0,0,0,0,0.09885
"Thurasamy, Ramayah","Thurasamy, Ramayah",,7,10,5,0.404444,0.438222,504.24679,1,0.007538,0.034722,0,0.000583,0,0,0,0,0.068211
