   FACTOR MATRIX (1996-2005) INTELLECTUAL STRUCTURE                                                                                                              
 17Knowledge-intensive services (KIS)                0,034     -0,045    -0,039    0,958     -0,001    -0,007    -0,005    -0,028    -0,032    0,023     0,073     -0,048  
 18Technological innovation                          0,031     -0,031    -0,033    -0,102    -0,345    -0,142    0,699     -0,015    -0,005    0,017     0,101     -0,104  
 19Digital/ICT/ITservice innovation                  0,023     -0,039    0,023     -0,014    0,042     0,061     0,007     0,791     -0,037    0,023     -0,094     0,04   
 20Lancasterian                                      0,013     -0,008    -0,016    -0,014    0,005     0,015     -0,025    -0,021    -0,008    -0,978    0,035     -0,018  
 21Consumer Theory                                   0,013     -0,008    -0,016    -0,014    0,005     0,015     -0,025    -0,021    -0,008    -0,978    0,035     -0,018  
 22Value co-production                                0,01     0,014     0,003     0,467     -0,268    0,097     0,689     -0,025    0,006      0,03     0,013     0,021   
 23Sustainability                                    0,009     -0,129    -0,114    -0,16     0,073     0,136     0,049     -0,059    -0,101     0,11     0,222     -0,093  
 24Health-care                                       0,007      0,37     -0,057    -0,038    0,744     -0,045    0,252     0,032     0,006     0,008      0,05     -0,021  
 25Public services                                     0        0,96     0,035     -0,031    0,074     0,021     0,005     -0,028    -0,028    0,007     0,022     -0,02   
 26Public service innovation                           0        0,96     0,035     -0,031    0,074     0,021     0,005     -0,028    -0,028    0,007     0,022     -0,02   
 27Service management                                -0,016    0,025     -0,019    0,015     -0,331    0,085     0,834     -0,025    -0,008     0,02     -0,001    0,046   
 28Standard                                          -0,03     -0,104    0,901     -0,004    0,052     0,009     0,016     -0,025      0       0,017     0,063     0,045   
 29Business model                                    -0,036    -0,035    -0,042    -0,055    -0,067    0,001     -0,003    0,711     0,005     -0,023    0,183     0,557   
 30Competition                                       -0,048     0,01     -0,046    -0,013    -0,033    -0,024    -0,062    0,818     0,013     0,037     0,018     -0,055  
 31Resource-based theory                             -0,067    -0,033    -0,029    -0,057    0,821     -0,091    0,307     -0,015    0,013     0,024     0,041     0,013   
 32ICT/digital technology/IT                         -0,074    0,104     -0,195    -0,106     0,17     -0,532    -0,041    0,194     -0,162    0,161     0,542     -0,014  
 33Intra-organizational                              -0,085    -0,004    -0,116    -0,059    -0,103    -0,001    -0,024    -0,125    0,007     0,053     -0,147    0,145   
 34Web service innovation/web innovation/web based   -0,092    -0,085    0,016     -0,019    0,093      0,04     0,031     -0,022    -0,045    -0,008    -0,68     0,001   
 35Service innovation                                -0,096     0,26      -0,1     -0,091    -0,129    0,174     -0,335    0,154     -0,185    0,151     -0,543    0,334   
 36Market                                            -0,183    0,028     0,188     -0,25     -0,339    -0,347    -0,163    0,146     0,272     0,112     -0,177    0,094   
 37Management                                        -0,417    -0,049    -0,293    -0,023    0,121     0,085     0,193     -0,003    -0,117    0,139     0,112     0,417   
 38e-service/m-service                               -0,574    -0,112    0,511     -0,014    -0,011    -0,041    -0,012    0,455     -0,039    -0,003    -0,073    -0,046  
 39Complex/complexity                                -0,612    0,154     -0,045    -0,072    0,445     0,117     0,139     -0,147    -0,011    0,003     -0,067    0,038   
 40e-Service innovation/Mobile service innovation    -0,734    -0,028    -0,002    -0,016    -0,07     -0,037    -0,056    0,611     -0,01     0,009     0,057     -0,027  
 41Service delivery system                           -0,891    -0,03     0,004     -0,016    -0,077    -0,055    -0,083    -0,026    -0,013    0,007     0,061     -0,055  
